workload,requests,request_speedup,common_setup_inclusive_speedup,warm_direct_to_fast_ratio,warm_snapshot_to_fast_ratio,warm_testmon_to_fast_ratio,modeled_hit_fraction_crossover
packaging,14,0.9949797276852925,0.9960429319122466,3.624803376888167,3.2071947552276625,4.746952008996577,0.5744130161142522
pycparser,14,0.8460877649739611,0.8782901428062528,3.0400436999893508,3.3019811080178183,4.123336825826731,0.6631460006639112
colorama,14,1.5623559143475587,1.4502392075568435,7.060117567327503,3.0614392087962132,4.402825187580527,0.36448149267023944
click,14,0.9733661238897476,0.9793509430231558,3.5200485356518008,3.4541397124222915,7.783652464321042,0.5873134676833309
more-itertools,14,2.0917059793883026,2.0708585491511786,109.12330923453743,3.2449007368690066,,0.05037983223819844
